category,n,mean,sd,ci_low,ci_high,target_t,target_p
country_or_territory,12,-0.07604166666666666,0.04040221547330685,-0.09895833333333331,-0.05416666666666666,-6.51984197479967,4.3091799466605e-05
event,70,-0.06732142857142857,0.048496080501588615,-0.07875,-0.056071428571428585,-11.614371230070484,6.814599064172368e-18
cultural_symbol_or_place,110,-0.046060606060606066,0.04327859237825302,-0.054015151515151516,-0.03803030303030304,-11.162278746551365,9.412051753258991e-20
social_group,78,-0.04091880341880342,0.036110897648728275,-0.04903846153846155,-0.033066239316239324,-10.007646175028748,1.3978897060413275e-15
organization,80,-0.03786458333333333,0.03773772370268505,-0.046302083333333334,-0.029999999999999992,-8.974339092637406,1.0917535339694235e-13
person,150,-0.03733333333333333,0.05787386964314756,-0.04666666666666667,-0.028250000000000004,-7.900596385534157,5.649333643083302e-13
