model_id,model_role,valence,arousal,dominance,words,generic,mismatch,refusal,valid,n
avibe,local,0.738428093645485,0.4290635451505017,0.6680100334448161,83.69533333333334,0.20133779264214047,0.23277591973244147,0.04013377926421405,0.7210702341137124,1500
gemma2_27b,international,0.7690881763527054,0.4634602538410154,0.7188376753507013,67.49066666666667,0.2177688710754843,0.05143620574482298,0.15030060120240482,0.7975951903807615,1500
gigachat,local,0.79575,0.4814333333333333,0.7230833333333333,81.208,0.126,0.050666666666666665,0.008666666666666666,0.9366666666666666,1500
glm,international,0.7825250836120401,0.5098996655518395,0.7300334448160536,75.67333333333333,0.07157190635451505,0.11638795986622073,0.010702341137123745,0.8695652173913043,1500
ministral_14b,international,0.714639037433155,0.5240140374331551,0.6756350267379679,118.714,0.013368983957219251,0.13770053475935828,0.0,0.8622994652406417,1500
qwen25_14b,international,0.7353971962616822,0.3902202937249667,0.675617489986649,64.11933333333333,0.24232309746328437,0.1308411214953271,0.13885180240320427,0.7296395193591455,1500
tpro,local,0.7607404936624416,0.46387591727818545,0.6847898599066043,75.60733333333333,0.09006004002668445,0.06604402935290193,0.024683122081387593,0.9039359573048699,1500
yandexgpt,local,0.7918999999999999,0.40490000000000004,0.6713500000000001,56.55266666666667,0.4693333333333333,0.012666666666666666,0.019333333333333334,0.9513333333333334,1500
