axis,target_n,target_delta,target_ci_low,target_ci_high,target_sd,target_d,model_delta,model_perm_p2,model_perm_p1,model_boot_low,model_boot_high
valence,500,0.02487083333333334,0.016195624999999998,0.0334628125,0.0984849552097499,0.2525343417211724,0.024625480145580747,0.6,0.7142857142857143,-0.03173409687135642,0.09182238955823296
arousal,500,-0.045025,-0.04915020833333334,-0.040791666666666664,0.04815475252700849,-0.935006362554701,-0.04521063355334842,0.2,0.1,-0.10761974928773212,0.02812273945481336
dominance,500,-0.015408333333333328,-0.023095833333333326,-0.007883229166666663,0.08772692565742823,-0.17563972768751226,-0.015640349336125348,0.5428571428571428,0.2714285714285714,-0.05414805762418751,0.029669979919678683
