judge,axis,n_targets,target_delta,ci_low,ci_high,model_delta,model_perm_p2
gpt4o_mini,valence,500,0.028275000000000005,0.018816666666666673,0.03778333333333333,0.028013696121264475,0.6
gpt4o_mini,arousal,500,-0.012550000000000006,-0.016000000000000004,-0.009350000000000004,-0.012597087384412897,0.17142857142857143
gpt4o_mini,dominance,500,-0.0052666666666666626,-0.01530041666666666,0.004700416666666665,-0.005660073218346051,0.8
qwen36_35b,valence,500,0.021750000000000005,0.013566458333333338,0.030050208333333342,0.020825102383325578,0.6285714285714286
qwen36_35b,arousal,500,-0.07748333333333333,-0.08441708333333334,-0.07041625,-0.07819744587427357,0.2
qwen36_35b,dominance,500,-0.026108333333333334,-0.03390833333333333,-0.018316250000000006,-0.02634391711266626,0.2571428571428571
