axis,pearson_r,pearson_p,mae,kripp_alpha,human_group_delta,human_ci_low,human_ci_high,human_welch_p,lm_group_delta_same_sample,lm_welch_p
valence,0.8449585122756726,5.56928356395504e-83,0.16691666666666663,0.5274745326858052,0.012666666666666715,-0.024227777777777914,0.04999999999999993,0.5100223025468039,0.04516666666666669,0.14372470416621944
arousal,0.5649643603184094,1.0734342342872442e-26,0.11094444444444446,0.28406403705602645,-0.007555555555555593,-0.04466666666666658,0.028666666666666618,0.6886647088968374,-0.03766666666666674,0.004610599276442161
dominance,0.5131340317515317,1.4997262112265803e-21,0.16399999999999998,0.20738802451673732,-0.004888888888888943,-0.03222222222222226,0.022444444444444378,0.7288883667438852,0.0119999999999999,0.6265933176283413
