excluded_model,n_targets,delta,ci_low,ci_high
avibe,500,-0.035425,-0.03974187500000001,-0.031083333333333338
gemma2_27b,500,-0.0352,-0.039375208333333335,-0.031133333333333332
gigachat,500,-0.05779166666666667,-0.06233333333333333,-0.053241666666666666
glm,500,-0.03376666666666667,-0.038375208333333334,-0.029133125
ministral_14b,500,-0.03533333333333333,-0.040074999999999986,-0.030666666666666665
qwen25_14b,500,-0.0758,-0.08064208333333335,-0.07101645833333335
tpro,500,-0.060908333333333335,-0.06559187500000001,-0.056108333333333336
yandexgpt,500,-0.025974999999999998,-0.030533333333333332,-0.021225
