model_id,model_role,valence,arousal,dominance,words,generic_rate,mismatch_rate,refusal_rate,valid_rate,n_generations
avibe,local,0.6993447580645161,0.44506048387096775,0.6424395161290323,90.01,0.20362903225806453,0.1935483870967742,0.010080645161290322,0.7862903225806451,500
gemma2_27b,international,0.7584669338677356,0.5484969939879759,0.7225450901803607,71.826,0.10420841683366733,0.04208416833667335,0.02004008016032064,0.9318637274549099,500
gigachat,local,0.77295,0.5122000000000001,0.70825,86.198,0.114,0.044,0.006,0.946,500
glm,international,0.7396586345381526,0.5530120481927712,0.7114457831325302,82.86,0.012048192771084338,0.10642570281124498,0.0,0.893574297188755,500
ministral_14b,international,0.6293172690763053,0.5484939759036145,0.6275100401606426,137.076,0.002008032128514056,0.13453815261044177,0.0,0.8654618473895582,500
qwen25_14b,international,0.7556499999999999,0.42719999999999997,0.6959,66.508,0.222,0.122,0.002,0.868,500
tpro,local,0.7245,0.522,0.66965,83.032,0.024,0.05,0.004,0.946,500
yandexgpt,local,0.7848,0.4171,0.6745,59.004,0.55,0.008,0.004,0.97,500
